BOR;AN;nofinesset;nofinessej;DIALY;UDM;NBUDM;PATUM;CAPA;NBPAT;SEAN;SEA_HOS;PREPLI;SEM;NVPAT;NVPERIT
DIALYSE;2020;010000024;010780054;112BA;;;;19;87;11293;;;;;
DIALYSE;2020;010000024;010780054;1130X;;;;;57;0;;;;;
DIALYSE;2020;010000024;010780054;1140X;;;;6;9;;;;;;
DIALYSE;2020;010000024;010780054;1150A;;;;;;624;;;;;
DIALYSE;2020;010000024;010780054;1210;;;;;9;;;;10;;
DIALYSE;2020;010000024;010780054;121AA;;;;;5;;;;10;;
DIALYSE;2020;010000024;010780054;121CA;;;;0;4;;;;;;
DIALYSE;2020;010000024;010780054;122AX;;;;0;0;;;;3;;
DIALYSE;2020;010000024;010780054;122BA;;;;3;0;;;;112;;
DIALYSE;2020;010000024;010780054;TOT;0;;;;;;940;3;;48;44
DIALYSE;2020;010006526;690796552;1130X;;;;8;22;3066;;;;;
DIALYSE;2020;010006526;690796552;TOT;0;;;;;;;1;;;
DIALYSE;2020;010780294;690000278;112AX;;;;1;0;69;;;;;
DIALYSE;2020;010780294;690000278;112BA;;;;12;44;6489;;;;;
DIALYSE;2020;010780294;690000278;1130X;;;;6;31;1947;;;;;
DIALYSE;2020;010780294;690000278;1140X;;;;6;6;869;;;;;
DIALYSE;2020;010780294;690000278;TOT;0;;;;;;0;;;;
DIALYSE;2020;010789006;210012290;112AX;;;;3;5;929;;;;;
DIALYSE;2020;010789006;210012290;1130X;;;;16;56;8435;;;;;
DIALYSE;2020;010789006;210012290;1140X;;;;6;9;1409;;;;;
DIALYSE;2020;010789006;210012290;1150A;;;;7;7;1328;;;;;
DIALYSE;2020;010789006;210012290;1210;;;;;9;;;;534;;
DIALYSE;2020;010789006;210012290;121AA;;;;;5;;;;344;;
DIALYSE;2020;010789006;210012290;121CA;;;;4;4;;;;190;;
DIALYSE;2020;010789006;210012290;TOT;0;;;;;;;;;;
DIALYSE;2020;020000162;020000063;112BA;;;;30;117;16692;;;;;
DIALYSE;2020;020000162;020000063;TOT;1;3;187;;;;1472;2;;88;0
DIALYSE;2020;020000394;020000253;112AX;;;;2;0;161;;;;;
DIALYSE;2020;020000394;020000253;112BA;;;;12;43;6433;;;;;
DIALYSE;2020;020000394;020000253;1130X;;;;8;0;0;;;;;
DIALYSE;2020;020000394;020000253;1150A;;;;2;2;;;;;;
DIALYSE;2020;020000394;020000253;1210;;;;;2;;;;;;
DIALYSE;2020;020000394;020000253;121CA;;;;;2;;;;;;
DIALYSE;2020;020000394;020000253;TOT;0;;;;;;304;1;;16;
DIALYSE;2020;020000519;020000261;112AX;;;;8;;8;;;;;
DIALYSE;2020;020000519;020000261;112BA;;;;15;;9648;;;;;
DIALYSE;2020;020000519;020000261;1140X;;;;11;;;;;;;
DIALYSE;2020;020000519;020000261;TOT;0;;;;;;572;;;;
DIALYSE;2020;020001772;590799995;1130X;;;;12;47;7338;;;;;
DIALYSE;2020;020001913;590799995;1130X;;;;12;46;6040;;;;;
DIALYSE;2020;020001913;590799995;1140X;;;;0;0;542;;;;;
DIALYSE;2020;020006441;590799995;1130X;;;;8;14;2064;;;;;
DIALYSE;2020;020006441;590799995;1140X;;;;6;5;714;;;;;
DIALYSE;2020;020012860;590799995;112AX;;;;1;;184;;;;;
DIALYSE;2020;020012860;590799995;1130X;;;;24;113;16196;;;;;
