BOR;AN;nofinesset;nofinessej;PERSO;EFFPL;EFFPA;ETP;GAR;AST
DIALYSE_P;2020;010000024;010780054;M1110;;5;1.73;0;1
DIALYSE_P;2020;010000024;010780054;N2500;4;10;7.97;;
DIALYSE_P;2020;010000024;010780054;NAUT;3;2;3.69;;
DIALYSE_P;2020;010000024;010780054;NCINF;17;9;23.18;;
DIALYSE_P;2020;010006526;690796552;M1110;;1;0.25;0;1
DIALYSE_P;2020;010006526;690796552;NAUT;;2;0.17;;
DIALYSE_P;2020;010006526;690796552;NCINF;3;5;4.56;;
DIALYSE_P;2020;010780294;690000278;M1110;2;1;1.58;1;0
DIALYSE_P;2020;010780294;690000278;N2500;4;1;4.17;;
DIALYSE_P;2020;010780294;690000278;N4100;;;0.22;;
DIALYSE_P;2020;010780294;690000278;NCINF;9;2;10.34;;
DIALYSE_P;2020;020000162;020000063;M1110;6;0;3.4;0;1
DIALYSE_P;2020;020000162;020000063;NAUT;8;3;6.9;;
DIALYSE_P;2020;020000162;020000063;NCINF;29;5;31.47;;
DIALYSE_P;2020;020000394;020000253;M1110;3;0;3;0;1
DIALYSE_P;2020;020000394;020000253;N2500;2;1;2.8;;
DIALYSE_P;2020;020000394;020000253;NAUT;3;2;3.44;;
DIALYSE_P;2020;020000394;020000253;NCINF;12;0;12.19;;
DIALYSE_P;2020;020000519;020000261;M1110;2;;2;0;1
DIALYSE_P;2020;020000519;020000261;N2500;2;;2.02;;
DIALYSE_P;2020;020000519;020000261;N4100;1;0;1.67;;
DIALYSE_P;2020;020000519;020000261;NAUT;4;0;4.26;;
DIALYSE_P;2020;020000519;020000261;NCINF;18;6;23.68;;
DIALYSE_P;2020;020001772;590799995;M1110;;8;0.24;0;0
DIALYSE_P;2020;030000061;030780092;M1110;2;2;3.46;0;1
DIALYSE_P;2020;030000061;030780092;N2500;5;0;5.11;;
DIALYSE_P;2020;030000061;030780092;NAUT;1;1;1.1;;
DIALYSE_P;2020;030000061;030780092;NCINF;12;5;12.54;;
DIALYSE_P;2020;030000079;030780100;M1110;3;1;1.62;0;1
DIALYSE_P;2020;030000079;030780100;N2500;7;;6.7;;
DIALYSE_P;2020;030000079;030780100;NAUT;1;1;1.35;;
DIALYSE_P;2020;030000079;030780100;NCINF;10;1;10.32;;
DIALYSE_P;2020;030000087;030780118;M1110;5;1;4.97;0;1
DIALYSE_P;2020;030000087;030780118;N2500;3;0;3.05;;
DIALYSE_P;2020;030000087;030780118;NAUT;3;0;2.17;;
DIALYSE_P;2020;030000087;030780118;NCINF;9;8;16.66;;
DIALYSE_P;2020;030003669;630000990;M1110;;3;1.24;0;0
DIALYSE_P;2020;030003669;630000990;N2500;;1;0.1;;
DIALYSE_P;2020;030003669;630000990;NAUT;3;2;3.18;;
DIALYSE_P;2020;030003669;630000990;NCINF;10;2;10.11;;
DIALYSE_P;2020;030003719;630000990;M1110;;3;1.14;;
DIALYSE_P;2020;030003719;630000990;NCINF;2;4;4.8;;
DIALYSE_P;2020;030003768;630000990;M1110;;6;1.79;0;0
DIALYSE_P;2020;030003768;630000990;NAUT;1;2;1.15;;
DIALYSE_P;2020;030003768;630000990;NCINF;;16;11;;
DIALYSE_P;2020;040003113;920033503;NCINF;2;;2;;
DIALYSE_P;2020;040784860;920033503;M1110;4;;4;0;1
DIALYSE_P;2020;040784860;920033503;N2500;4;;4;;
DIALYSE_P;2020;040784860;920033503;N4100;1;1;2;;
DIALYSE_P;2020;040784860;920033503;NAUT;7;3;10;;
DIALYSE_P;2020;040784860;920033503;NCINF;21;4;25;;
DIALYSE_P;2020;040787541;920033503;M1110;0;;;0;1
DIALYSE_P;2020;040787541;920033503;NCINF;1;;1;;
DIALYSE_P;2020;050000231;050000116;M1110;0;1;2.09;;
DIALYSE_P;2020;050000231;050000116;N2500;5;0;2.74;;
DIALYSE_P;2020;050000231;050000116;NAUT;1;2;1.46;;
DIALYSE_P;2020;050000231;050000116;NCINF;3;3;4.65;;
DIALYSE_P;2020;050000348;050002948;M1110;0;3;1.48;;
DIALYSE_P;2020;050000348;050002948;N2500;3;3;5.2;;
DIALYSE_P;2020;050000348;050002948;NAUT;0;3;1.51;;
DIALYSE_P;2020;050000348;050002948;NCINF;5;4;7;;
DIALYSE_P;2020;050003359;380793802;M1110;0;;0;0;1
DIALYSE_P;2020;050006022;380793802;M1110;;0;0;0;1
DIALYSE_P;2020;050006022;380793802;NCINF;2;;2;;
DIALYSE_P;2020;060000544;060780988;M1110;2;1;2.43;0;1
DIALYSE_P;2020;060000544;060780988;N2500;4;1;4.13;;
DIALYSE_P;2020;060000544;060780988;NAUT;4;3;4.55;;
DIALYSE_P;2020;060000544;060780988;NCINF;8;5;11;;
DIALYSE_P;2020;060010949;060790540;M1110;3;1;1.47;0;1
DIALYSE_P;2020;060010949;060790540;N4100;;2;0.55;;
DIALYSE_P;2020;060010949;060790540;NAUT;8;5;4.7;;
DIALYSE_P;2020;060010949;060790540;NCINF;33;1;14.2;;
DIALYSE_P;2020;060019676;060790540;M1110;;;2.15;0;0
DIALYSE_P;2020;060019676;060790540;N4100;;;0.84;;
DIALYSE_P;2020;060019676;060790540;NAUT;;;0.57;;
DIALYSE_P;2020;060019676;060790540;NCINF;;;4.78;;
DIALYSE_P;2020;060021276;060790540;M1110;4;4;2.2;0;0
DIALYSE_P;2020;060021276;060790540;N2500;3;;3;;
DIALYSE_P;2020;060021276;060790540;N4100;5;;2.75;;
DIALYSE_P;2020;060021276;060790540;NAUT;5;;3.54;;
DIALYSE_P;2020;060021276;060790540;NCINF;27;1;14;;
DIALYSE_P;2020;060785003;060785011;M1110;0;4;1.82;0;0
DIALYSE_P;2020;060785003;060785011;N2500;11;;8.79;;
DIALYSE_P;2020;060785003;060785011;NAUT;6;;3.65;;
DIALYSE_P;2020;060785003;060785011;NCINF;25;1;22.24;;
DIALYSE_P;2020;060789195;060785011;M1110;0;2;1.25;0;0
DIALYSE_P;2020;060789195;060785011;N2500;1;;0.22;;
DIALYSE_P;2020;060789195;060785011;NAUT;2;1;0.5;;
DIALYSE_P;2020;060789195;060785011;NCINF;1;;1;;
DIALYSE_P;2020;060791860;060790797;M1110;;5;4.66;1;1
DIALYSE_P;2020;060791860;060790797;N2500;4;1;4.5;;
DIALYSE_P;2020;060791860;060790797;N4100;6;;4.82;;
DIALYSE_P;2020;060791860;060790797;NAUT;19;6;18.35;;
DIALYSE_P;2020;060791860;060790797;NCINF;36;22;51.69;;
DIALYSE_P;2020;060792090;060790540;M1110;;;0.12;0;0
DIALYSE_P;2020;060792090;060790540;N4100;;;0.96;;
DIALYSE_P;2020;060792090;060790540;NAUT;;;0.21;;
DIALYSE_P;2020;060792090;060790540;NCINF;;;1.2;;
DIALYSE_P;2020;060792736;060790540;M1110;;;0.25;0;0
DIALYSE_P;2020;060792736;060790540;N4100;;;0.85;;
DIALYSE_P;2020;060792736;060790540;NAUT;;;0.58;;
DIALYSE_P;2020;060792736;060790540;NCINF;;;5.16;;
